,Nutrients_Timepoint,Low_Fat_SS,Low_Fat_Mean,Low_Fat_SD,Low_Carb_SS,Low_Carb_Mean,Low_Carb_SD
4,"Fiber, g/1000 kcal",None,,,,,
5,Baseline,304,10.8,02,304,10.3,02
6,3 mo,274,16.5,04,275,11.3,06
7,6 mo,240,15.4,04,251,11.2,03
8,12 mo,225,14.2,04,224,11.6,03
9,"Added Sugars, g",None,,,,,
10,Baseline,304,49.3,20,304,52.2,20
11,3 mo,274,28.5,13,275,16.2,12
12,6 mo,240,31.5,17,251,18.9,13
13,12 mo,225,33.1,17,224,22.8,16
14,"Sugar, g kcal",None,,,,,
15,Baseline,304,22.4,07,304,23.2,07
16,3 mo,274,18.4,07,275,9.8,06
17,6 mo,240,18.9,08,251,11.2,07
18,12 mo,225,18.7,09,224,12.9,08
19,Glycemic Index,None,,,,,
20,Baseline,304,57.8,03,304,58.2,03
21,3 mo,274,56.0,03,275,50.1,04
22,6 mo,240,56.2,04,251,51.4,05
23,12 mo,225,56.1,04,224,52.7,05
24,Glycemic Load,None,,,,,
25,Baseline,304,128.2,29,304,132.4,27
26,3 mo,274,102.1,23,275,43.1,20
27,6 mo,240,107.0,31,251,52.4,25
28,12 mo,225,108.0,28,224,62.9,26
