,Nutrients_Timepoint,Low_Fat_SS,Low_Fat_Mean,Low_Fat_SD,Low_Carb_SS,Low_Carb_Mean,Low_Carb_SD
0,"Total Energy Intake, kcal",None,None,,,,
1,Baseline,304,2148.1,394,304,2222.8,375
2,3 mo,274,1515.0,277,275,1580.8,291
3,6 mo,240,1624.4,373,251,1621.3,332
4,12 mo,225,1716.1,345,224,1697.1,321
5,"Carbohydrates, g",,,,,,
6,Baseline,304,241.8,50,304,246.5,45
7,3 mo,274,205.2,43,275,96.6,34
8,6 mo,240,211.2,53,251,113.2,41
9,12 mo,225,212.9,50,224,132.4,42
10,"Carbohydrates, %",kcal,,,,,
11,Baseline,304,44.5,05,304,44.0,04
12,3 mo,274,52.6,06,275,23.1,07
13,6 mo,240,50.8,07,251,26.5,07
14,12 mo,225,48.4,07,224,29.8,07
15,"Fat, g",,,,,,
16,Baseline,304,87.0,20,304,92.6,19
17,3 mo,274,42.0,12,275,88.8,20
18,6 mo,240,50.3,18,251,86.6,20
19,12 mo,225,57.3,17,224,86.2,20
20,"Fat, %",kcal,,,,,
21,,304,34.8,04,304,36.0,03
22,Baseline,274,24.0,05,275,49.0,05
23,6 mo,240,26.4,06,251,46.8,06
24,12 mo,225,28.7,05,224,44.6,06
25,"Protein, g",,,,,,
26,,304,92.1,17,304,93.1,16
27,3 mo,274,79.5,16,275,96.9,20
28,Baseline,240,81.9,19,251,93.8,19
29,12 mo,225,84.5,18,224,93.3,20
30,"Protein, %",kcal,,,,,
31,,304,17.9,03,304,17.3,02
32,3 mo,274,21.5,04,275,25.9,04
33,6 mo,240,20.8,04,251,24.3,04
34,Baseline,225,20.6,04,224,22.9,04
35,"Saturated Fat,",g,,,,,
36,,304,28.9,07,304,30.8,07
37,3 mo,274,12.7,04,275,29.1,07
38,6 mo,240,15.3,07,251,27.9,07
39,12 mo,225,18.2,06,224,28.2,08
40,Baseline,%,kcal,,,,
41,,304,11.5,02,304,11.9,02
42,3 mo,274,7.2,02,275,16.1,03
43,6 mo,240,8.0,02,251,15.0,03
44,12 mo,225,9.0,02,224,14.5,03
45,"Fiber, g",,,,,,
46,Baseline,304,22.0,06,304,21.6,05
47,3 mo,274,24.2,07,275,16.7,08
48,6 mo,240,23.7,07,251,17.2,05
49,12 mo,225,23.0,06,224,18.6,05
