,4Variable and diet Baseline,4 wk,8 wk,2 12 wk,Unnamed: 0,3 Score change,Unnamed: 1,Time 3 group
0,"TGs, mmol/L",,,,,,,0.540
1,LFHC 1.45 6 0.53,1.18 6 0.54,1.12 6 0.37,1.04 6 0.38,,"20.41 (20.60, 20.21)",,
2,VHFLC 1.52 6 0.60,1.22 6 0.48,1.26 6 0.57,0.99 6 0.51,,"20.53 (20.68, 20.37)",,
3,"NEFA, mmol/L",,,,,,,0.223
4,LFHC 0.45 6 0.14,0.64 6 0.20,0.71 6 0.37,0.53 6 0.18,,"+0.07 (20.04, 0.18)",,
5,VHFLC 0.45 6 0.15,0.70 6 0.19,0.66 6 0.28,0.45 6 0.16,,"20.01 (20.07, 0.06)",,
6,"TC, mmol/L",,,,,,,",0.001"
7,LFHC 5.42 6 1.14,4.60 6 0.94,4.64 6 0.95,4.46 6 0.96,,"20.96 (21.23, 20.69)",,
8,VHFLC 5.35 6 1.17,5.56 6 1.23,5.78 6 1.22,5.48 6 1.27,,"+0.13 (20.29, 0.55)",,
9,"LDL-C, mmol/L",,,,,,,",0.001"
10,LFHC 3.68 6 1.07,2.99 6 0.86,2.98 6 0.89,2.90 6 0.85,,"20.78 (21.08, 20.49)",,
11,VHFLC 3.65 6 1.14,3.99 6 1.15,4.19 6 1.18,3.91 6 1.20,,"+0.26 (20.08, 0.60)",,
12,"HDL-C, mmol/L",,,,,,,0.034
13,LFHC 1.23 6 0.24,1.23 6 0.29,1.23 6 0.27,1.22 6 0.29,,"20.01 (20.10, 0.07)",,
14,VHFLC 1.05 6 0.30,1.10 6 0.21,1.13 6 0.27,1.19 6 0.29,,"+0.14 (0.06, 0.22)",,
15,TC:HDL-C ratio,,,,,,,0.552
16,LFHC 4.54 6 1.23,3.92 6 1.23,3.88 6 1.05,3.79 6 1.03,,"20.75 (21.07, 20.43)",,
17,VHFLC 5.47 6 1.79,5.30 6 1.59,5.41 6 1.60,4.86 6 1.53,,"20.61 (21.20, 20.02)",,
18,TG:HDL-C ratio,,,,,,,0.066
19,LFHC 1.24 6 0.59,1.06 6 0.68,0.96 6 0.44,0.91 6 0.42,,"20.33 (20.54, 20.13)",,
20,VHFLC 1.63 6 0.86,1.21 6 0.69,1.23 6 0.74,0.92 6 0.59,,"20.70 (20.96, 20.45)",,
21,"Glucose, mmol/L",,,,,,,0.013
22,LFHC 5.11 6 0.46,5.00 6 0.34,4.98 6 0.33,4.78 6 0.44,,"20.33 (20.53, 20.13)",,
23,5VHFLC 4.94 6 0.42,4.96 6 0.42,5.12 6 0.38,4.85 6 0.42,,"20.08 (20.23, 0.06)",,
24,"Insulin, mU/L",,,,,,,0.886
25,LFHC 14.1 6 5.47,10.5 6 4.50,9.91 6 5.13,8.56 6 4.92,,"25.52 (27.72, 23.32)",,
26,5VHFLC 13.3 6 7.43,9.17 6 6.72,11.9 6 6.97,7.62 6 4.31,,"25.70 (28.09, 23.31)",,
27,"INCP, nmol/L",,,,,,,0.308
28,LFHC 0.88 6 0.22,0.73 6 0.24,0.69 6 0.24,0.62 6 0.22,,"20.26 (20.35, 20.16)",,
29,5VHFLC 0.89 6 0.31,0.75 6 0.36,0.87 6 0.33,0.67 6 0.29,,"20.22 (20.31, 20.12)",,
30,HOMA2-IR,,,,,,,0.238
31,LFHC 1.95 6 0.53,1.61 6 0.52,1.52 6 0.53,1.35 6 0.51,,"20.60 (20.82, 20.37)",,
32,5VHFLC 1.95 6 0.69,1.65 6 0.82,1.93 6 0.81,1.47 6 0.66,,"20.48 (20.71, 20.25)",,
33,HOMA2-%S,,,,,,,0.330
34,LFHC 55.8 6 19.1,70.8 6 32.2,76.9 6 35.1,85.4 6 34.6,,"+29.6 (16.5, 42.7)",,
35,5VHFLC 58.7 6 24.1,76.1 6 36.4,63.4 6 33.1,82.9 6 39.8,,"+24.2 (10.5, 37.9)",,
36,"HbA1c, %",,,,,,,0.822
37,LFHC 5.62 6 0.7,—,—,5.08 6 0.4,,"20.54 (20.75, 20.33)",,
38,VHFLC 5.58 6 0.5,—,—,5.06 6 0.4,,"20.52 (20.74, 20.29)",,
39,"Glucagon, pmol/L",,,,,,,0.479
40,LFHC 30.1 6 5.5,—,—,24.7 6 5.6,,"25.39 (26.75, 24.04)",,
41,VHFLC 32.3 6 9.9,—,—,28.2 6 7.5,,"24.10 (26.30, 21.90)",,
